[2026-03-15 18:21:16] [Systran/faster-distil-whisper-large-v3 | 0.98s] We are now recording in English. This is our main language. Let's see what it does.
[2026-03-15 18:25:48] [distil-large-v3 | 0.98s] We can we can we're trying with this method? I'm very very very much.
[2026-03-15 18:26:01] [distil-large-v3 | 0.96s] I want to very very much. This is in the Netherlands. But I see it not.
[2026-03-15 18:28:14] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.20s] Ik wil het heel graag nog een keer proberen om te zien of het werkt. Deze werkte eerst wel heel erg goed en deed het ook met de Nederlandse taal.
[2026-03-15 18:28:36] [Systran/faster-distil-whisper-large-v3 | 0.97s] And now I'm switching to English to do another transcribing. That should work for us. In coding we have different models and different places where we can access this.
[2026-03-15 18:28:54] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.09s] En wanneer we willen, kunnen we daarna weer terug naar de Nederlandse taal, want daar hebben we dus dit multilingual model voor neergezet. En dat model is de Faster Whisper Large V3 Turbo CT2.
[2026-03-15 18:54:39] [Systran/faster-distil-whisper-large-v3 | 1.93s] So what else is missing? I have built a project now with a Python application together with you. We have a ReadMe file. We got some synchronization with GitHub. I'm almost done with this application. Is there anything missing in this project that we have not discussed, covered, or that I should think of? Should I think of security? Should I think of documentation? Should I think of anything else? So I can trust this. We'll keep on working. Help me.
[2026-03-15 19:28:18] [medium | 1.22s] Oké, laten we het opnemen en kijken wat we krijgen.
[2026-03-15 19:28:41] [medium | 1.19s] Ik ben klaar voor de volgende opname. Laten we kijken of het werkt.
[2026-03-15 19:31:31] [Systran/faster-distil-whisper-large-v3 | 1.20s] How easy would it be to actually turn this model into an application that we can sell? So I'm going to have to distribute it. I would have to add without an X file, I would have to secure the data so that people cannot steal it. How realistic is it to make something like that?
[2026-03-15 19:36:18] [medium | 7.05s] Ik heb vandaag ook zo'n plezier gehad met het maken van een app die mijn stem naar tekst configureert. en ik vond het ook interessant om te kijken van oh als ik dan iets geplakt heb wil ik een soort historie hebben en ik wil dat hij graag start met een icoontje in de taakbalk en dat je dan kan kiezen om bij het opstarten meteen te starten en zo werd dat steeds meer en ook allerlei optimalisaties en ik heb nu dus een app die zo ontzettend snel is
[2026-03-15 19:36:39] [medium | 1.13s] En dat werkt dus allemaal met een open source model. Ja, echt heerlijk.
[2026-03-15 19:37:09] [deepdml/faster-whisper-large-v3-turbo-ct2 | 1.11s] Dat is toch kikken dat je dan je eigen applicatie gebruikt en al een icoontje hebt en al een hele app in gebruik. Echt fucking vet.
